GEO.id,GEO.id2,GEO.display-label,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04
Id,Id2,Geography,Estimate; Median age -- - Total:,Margin of Error; Median age -- - Total:,Estimate; Median age -- - Male,Margin of Error; Median age -- - Male,Estimate; Median age -- - Female,Margin of Error; Median age -- - Female
0500000US01003,01003,"Baldwin County, Alabama",42.6,1.0,40.5,1.5,44.3,0.8
0500000US01015,01015,"Calhoun County, Alabama",39.4,1.2,37.8,1.8,40.7,1.3
0500000US01043,01043,"Cullman County, Alabama",41.5,1.3,40.4,0.8,43.2,1.0
0500000US01049,01049,"DeKalb County, Alabama",38.7,1.0,38.7,1.7,38.7,1.3
0500000US01051,01051,"Elmore County, Alabama",38.8,0.7,38.3,0.9,40.3,1.6
0500000US01055,01055,"Etowah County, Alabama",41.2,0.9,40.5,0.7,42.7,1.6
0500000US01069,01069,"Houston County, Alabama",39.9,0.6,37.6,0.6,41.6,0.6
0500000US01073,01073,"Jefferson County, Alabama",37.6,0.3,36.1,0.3,38.8,0.4
0500000US01077,01077,"Lauderdale County, Alabama",40.9,1.3,40.3,2.2,41.9,2.2
0500000US01081,01081,"Lee County, Alabama",31.8,0.6,30.8,0.8,33.0,1.4
0500000US01083,01083,"Limestone County, Alabama",39.2,1.4,37.7,1.3,41.2,1.9
0500000US01089,01089,"Madison County, Alabama",38.7,0.5,37.0,0.6,40.1,0.6
0500000US01095,01095,"Marshall County, Alabama",38.1,1.3,36.5,1.2,40.2,2.3
0500000US01097,01097,"Mobile County, Alabama",38.2,0.5,36.9,0.5,39.2,0.5
0500000US01101,01101,"Montgomery County, Alabama",36.6,0.3,34.8,0.4,38.2,0.7
0500000US01103,01103,"Morgan County, Alabama",39.9,0.7,37.6,1.4,41.9,1.6
0500000US01115,01115,"St. Clair County, Alabama",40.7,1.4,39.2,1.7,42.1,1.3
0500000US01117,01117,"Shelby County, Alabama",39.3,0.6,38.2,0.7,40.3,0.5
0500000US01121,01121,"Talladega County, Alabama",40.3,1.6,38.6,1.8,42.5,2.2
0500000US01125,01125,"Tuscaloosa County, Alabama",32.6,0.6,31.4,0.5,34.4,0.7
0500000US01127,01127,"Walker County, Alabama",43.2,1.1,40.6,3.2,44.2,0.9
0500000US02020,02020,"Anchorage Municipality, Alaska",34.0,0.3,33.1,0.4,35.0,0.6
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",30.7,0.6,30.8,2.2,30.7,0.6
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",35.2,0.2,34.9,0.6,35.9,0.4
0500000US04001,04001,"Apache County, Arizona",34.8,0.5,32.7,1.4,35.9,1.3
0500000US04003,04003,"Cochise County, Arizona",41.6,1.0,39.2,1.7,44.1,1.1
0500000US04005,04005,"Coconino County, Arizona",31.6,0.9,31.1,1.2,32.3,1.1
0500000US04013,04013,"Maricopa County, Arizona",36.4,0.2,35.3,0.1,37.6,0.2
0500000US04015,04015,"Mohave County, Arizona",51.4,0.6,50.6,0.4,52.1,0.6
0500000US04017,04017,"Navajo County, Arizona",38.1,0.7,35.4,0.3,39.7,0.8
0500000US04019,04019,"Pima County, Arizona",38.5,0.3,37.2,0.3,40.1,0.4
0500000US04021,04021,"Pinal County, Arizona",39.6,0.5,38.1,0.6,40.8,0.5
0500000US04025,04025,"Yavapai County, Arizona",53.6,0.3,52.1,0.7,55.3,0.3
0500000US04027,04027,"Yuma County, Arizona",34.7,0.3,33.0,0.8,36.7,0.6
0500000US05007,05007,"Benton County, Arkansas",35.5,0.3,34.5,0.3,36.4,0.6
0500000US05031,05031,"Craighead County, Arkansas",34.6,1.1,33.4,1.4,36.0,1.5
0500000US05045,05045,"Faulkner County, Arkansas",33.0,0.6,32.3,0.8,34.3,1.0
0500000US05051,05051,"Garland County, Arkansas",45.2,0.5,42.8,2.1,46.9,1.6
0500000US05069,05069,"Jefferson County, Arkansas",38.8,0.8,36.6,1.3,42.1,3.5
0500000US05085,05085,"Lonoke County, Arkansas",35.9,0.6,35.8,0.8,36.0,1.1
0500000US05119,05119,"Pulaski County, Arkansas",37.4,0.4,35.8,0.4,38.9,0.8
0500000US05125,05125,"Saline County, Arkansas",38.9,0.8,37.3,0.8,40.4,0.6
0500000US05131,05131,"Sebastian County, Arkansas",37.9,1.3,37.1,1.0,39.9,2.1
0500000US05143,05143,"Washington County, Arkansas",32.3,0.5,31.3,0.6,33.8,0.7
