GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
0500000US01001,01001,"Autauga County, Alabama",55036,*****,42159,330,10510,187,169,60,516,162,43,40,719,360,920,228,19,31,901,229
0500000US01003,01003,"Baldwin County, Alabama",203360,*****,175961,707,19414,308,1668,414,1405,463,0,27,1591,581,3321,770,957,508,2364,564
0500000US01005,01005,"Barbour County, Alabama",26201,*****,12200,228,12588,163,54,44,165,112,0,21,978,243,216,78,18,21,198,76
0500000US01007,01007,"Bibb County, Alabama",22580,*****,17323,52,4979,103,82,47,0,21,0,21,8,16,188,108,0,21,188,108
0500000US01009,01009,"Blount County, Alabama",57667,*****,55045,291,915,127,212,101,84,84,0,27,425,257,986,223,33,36,953,216
0500000US01011,01011,"Bullock County, Alabama",10478,*****,2299,51,7925,190,110,122,73,66,0,18,2,4,69,148,0,18,69,148
0500000US01013,01013,"Butler County, Alabama",20126,*****,10547,38,9030,101,13,17,224,21,0,21,14,20,298,95,0,21,298,95
0500000US01015,01015,"Calhoun County, Alabama",115527,*****,86136,496,23735,499,413,280,1149,130,7,12,1456,454,2631,489,119,115,2512,471
0500000US01017,01017,"Chambers County, Alabama",33895,*****,19552,172,13335,138,95,33,339,48,0,24,240,181,334,141,19,28,315,142
0500000US01019,01019,"Cherokee County, Alabama",25855,*****,24072,83,1287,56,125,62,50,43,0,21,51,75,270,77,9,14,261,75
0500000US01021,01021,"Chilton County, Alabama",43805,*****,36497,474,4184,338,254,134,187,80,0,24,1917,463,766,387,102,96,664,350
0500000US01023,01023,"Choctaw County, Alabama",13188,*****,7456,46,5583,118,4,5,8,11,0,18,7,11,130,94,0,18,130,94
0500000US01025,01025,"Clarke County, Alabama",24625,*****,13108,49,11246,159,14,19,127,114,22,42,0,21,108,75,7,11,101,75
0500000US01027,01027,"Clay County, Alabama",13407,*****,11148,30,1979,107,120,42,6,10,0,18,23,26,131,111,10,21,121,109
0500000US01029,01029,"Cleburne County, Alabama",14939,*****,14127,73,424,74,43,65,81,95,0,18,51,48,213,93,28,42,185,85
0500000US01031,01031,"Coffee County, Alabama",51073,*****,38956,325,8834,275,542,79,659,110,0,27,440,307,1642,358,9,11,1633,360
0500000US01033,01033,"Colbert County, Alabama",54435,*****,43315,195,8722,250,404,137,274,60,19,27,626,258,1075,291,192,123,883,260
0500000US01035,01035,"Conecuh County, Alabama",12649,*****,6494,86,5879,144,21,28,4,6,0,18,2,4,249,165,0,18,249,165
0500000US01037,01037,"Coosa County, Alabama",10955,*****,7165,16,3640,168,9,12,0,18,0,18,0,18,141,167,0,18,141,167
0500000US01039,01039,"Covington County, Alabama",37519,*****,31758,84,4937,78,124,68,158,46,8,18,77,59,457,96,0,24,457,96
0500000US01041,01041,"Crenshaw County, Alabama",13866,*****,9911,43,3271,150,113,23,194,18,0,18,141,112,236,130,8,17,228,128
0500000US01043,01043,"Cullman County, Alabama",81703,*****,78056,339,948,140,350,182,528,27,3,5,723,310,1095,256,104,91,991,238
0500000US01045,01045,"Dale County, Alabama",49393,*****,36202,426,9606,235,257,112,503,177,9,11,875,374,1941,308,54,56,1887,309
0500000US01047,01047,"Dallas County, Alabama",40755,*****,11497,131,28677,142,16,19,183,34,23,38,92,102,267,131,29,43,238,125
0500000US01049,01049,"DeKalb County, Alabama",71194,*****,61415,886,1040,122,963,297,208,80,640,556,5198,1022,1730,356,372,267,1358,283
0500000US01051,01051,"Elmore County, Alabama",80989,*****,60877,348,17338,219,281,117,461,165,0,27,768,334,1264,264,65,79,1199,248
0500000US01053,01053,"Escambia County, Alabama",37621,*****,23087,156,12128,201,1371,95,149,157,54,81,327,136,505,200,83,88,422,176
0500000US01055,01055,"Etowah County, Alabama",103132,*****,83436,382,16039,247,729,236,706,118,71,64,631,296,1520,314,91,83,1429,300
0500000US01057,01057,"Fayette County, Alabama",16657,*****,14240,75,2019,194,0,18,78,55,0,18,0,18,320,174,0,18,320,174
0500000US01059,01059,"Franklin County, Alabama",31507,*****,27055,639,1528,223,291,231,117,4,32,46,2240,608,244,178,24,25,220,175
0500000US01061,01061,"Geneva County, Alabama",26572,*****,23014,145,2440,128,179,84,106,31,0,21,274,154,559,148,0,21,559,148
0500000US01063,01063,"Greene County, Alabama",8533,*****,1459,16,6853,101,54,74,0,16,0,16,0,16,167,61,53,72,114,104
0500000US01065,01065,"Hale County, Alabama",14995,*****,5928,37,8802,42,25,39,26,26,0,18,176,61,38,57,38,57,0,18
0500000US01067,01067,"Henry County, Alabama",17110,*****,12144,67,4762,84,5,9,0,18,0,18,48,67,151,84,0,18,151,84
0500000US01069,01069,"Houston County, Alabama",104108,*****,72271,178,27844,190,403,100,899,64,22,33,581,140,2088,168,187,67,1901,170
